outage,earliest,latest,possible_duration_hours,probably_ended,min_estCustAffected,max_estCustAffected,region,latitude,longitude
649957,1570619423,1570831817,59.0,1,273,273,Lake Wildwood,39.25384,-121.19808
649958,1570619423,1570812624,53.67,1,29,29,Lakeport,39.0402,-122.9314
649959,1570619423,1570842614,62.0,1,444,444,Kelseyville,38.95586,-122.72744
649960,1570619423,1570706416,24.16,1,108,108,Rio Dell,40.50808,-124.11232
649961,1570619423,1570620626,0.33,1,1,1,Auburn,38.97397,-121.04637
649962,1570619423,1570622425,0.83,1,1,1,Grass Valley,39.13027,-121.02006000000002
649963,1570619423,1570698627,22.0,1,232,232,Eureka,40.78202,-124.11431
649964,1570619423,1570623627,1.17,1,1,1,Placerville,38.65628,-120.69126
649965,1570619423,1570822822,56.5,1,201,201,Dobbins,39.33956,-121.19458
649966,1570619423,1570746036,35.17,1,225,225,Sausalito,37.87269000000001,-122.50553
649967,1570619423,1570698627,22.0,1,199,199,Ferndale,40.57799,-124.26908
649968,1570619423,1570622425,0.83,1,1,1,Grass Valley,39.2329,-121.06856
649969,1570619423,1570761077,39.35,1,484,484,Redding,40.52108,-122.47845
649970,1570619423,1570635018,4.33,1,1,1,Bridgeville,40.45072,-123.6927
649971,1570619423,1570821021,56.0,1,219,219,Red Bluff,40.16489,-122.28122
649972,1570619423,1570834832,59.84,1,601,607,Nevada City,39.25436,-121.14587
649973,1570619423,1570750819,36.5,1,327,327,Marin City,37.86948,-122.51211
649974,1570619423,1570622425,0.83,1,1,1,Nevada City,39.25208,-121.00874
649975,1570619423,1570621827,0.67,1,1,1,Placerville,38.74605,-120.80296
649976,1570619423,1570830023,58.5,1,983,2742,Pollock Pines,38.76117,-120.5582
649977,1570619423,1570819817,55.66,1,243,405,Redding,40.51763,-122.50594
649978,1570619423,1570830628,58.67,1,127,127,Magalia,39.87079,-121.65042
649979,1570619423,1570750819,36.5,1,409,409,Marin City,37.87306,-122.51547
649980,1570619423,1570766426,40.83,1,418,418,Red Bluff,40.18279,-122.24488999999998
649982,1570619423,1570822822,56.5,1,75,705,Dobbins,39.34096,-121.19517
649983,1570619423,1570622425,0.83,1,1,2,Grass Valley,39.15238,-120.96117
649984,1570619423,1570833042,59.34,1,11,955,Forest Ranch,39.88717000000001,-121.66541
649985,1570620019,1570811457,53.18,1,132,493,Smartsville,39.2105,-121.3108
649986,1570620019,1570754416,37.33,1,223,223,Marin City,37.87439000000001,-122.51455
649987,1570620019,1570620019,0.0,1,1,1,Healdsburg,38.64914,-122.88544
649988,1570620019,1570630837,3.0,1,50,50,Red Bluff,40.15948,-122.33797
649989,1570620019,1570833042,59.17,1,377,377,Forest Ranch,39.88766,-121.66546
649991,1570620019,1570762215,39.5,1,0,1,Millville,40.55568,-122.21911
649992,1570620019,1570766426,40.67,1,181,181,Red Bluff,40.1828,-122.24473
649993,1570620019,1570621827,0.5,1,1,1,Garden Valley,38.82779,-120.77414
649994,1570620019,1570623627,1.0,1,1,1,Paradise,39.78384000000001,-121.57361000000002
649995,1570620019,1570698028,21.67,1,811,811,Cutten,40.75712,-124.1469
649996,1570620019,1570744221,34.5,1,361,361,Sausalito,37.85631,-122.48468
649997,1570620019,1570819817,55.5,1,162,162,Igo,40.49837,-122.57268
649998,1570620019,1570836630,60.17,1,250,250,Forest Ranch,39.88881,-121.6648
649999,1570620019,1570819817,55.5,1,403,403,Cool,38.91441,-121.01966000000002
650000,1570620019,1570622425,0.67,1,1,1,Nevada City,39.21661,-120.93659
650001,1570620019,1570745417,34.83,1,55,55,Sausalito,37.8547,-122.48505
650002,1570620019,1570621827,0.5,1,1,1,Garden Valley,38.86081,-120.81994
