Rank,City,Population
390,East San Gabriel,"15,932"
391,Avocado Heights,"15,903"
392,Parkway,"15,885"
393,La Palma,"15,733"
394,Stanford,"15,668"
395,Mountain House,"15,645"
396,Fillmore,"15,598"
397,Pacific Grove,"15,567"
398,Phelan,"15,532"
399,Rio Linda,"15,460"
400,Ripon,"15,367"
401,Clearlake,"15,323"
402,Alamo,"15,317"
403,Alpine,"15,233"
404,Lamont,"15,222"
405,Susanville,"15,216"
406,Parlier,"15,120"
407,Coto de Caza,"14,931"
408,Salida,"14,658"
409,Kerman,"14,649"
410,North Fair Oaks,"14,547"
411,McFarland,"14,456"
412,Hawaiian Gardens,"14,411"
413,Mill Valley,"14,343"
414,Red Bluff,"14,132"
415,Lemon Hill,"14,096"
416,Livingston,"13,997"
417,El Sobrante CDP,"13,966"
418,Auburn,"13,946"
419,King City,"13,834"
420,El Sobrante,"13,736"
421,Oak Park,"13,730"
422,Muscoy,"13,726"
423,North Auburn,"13,707"
424,California City,"13,646"
425,Carpinteria,"13,550"
426,Grover Beach,"13,538"
427,Palos Verdes Estates,"13,523"
428,Sun Village,"13,516"
429,Solana Beach,"13,370"
430,Bonita,"13,324"
431,Big Bear City,"13,312"
432,Olivehurst,"13,309"
433,San Marino,"13,285"
434,Lindsay,"13,232"
435,Lakeland Village,"13,170"
436,Commerce,"12,933"
437,Grass Valley,"12,932"
438,Avenal,"12,923"
439,Malibu,"12,846"
440,Tehachapi,"12,753"
441,Half Moon Bay,"12,706"
442,Magalia,"12,671"
443,San Anselmo,"12,567"
444,Grand Terrace,"12,482"
445,Larkspur,"12,375"
446,Marysville,"12,282"
447,Fortuna,"12,117"
448,Diamond Springs,"11,989"
449,Clayton,"11,967"
450,Scotts Valley,"11,900"
451,Kingsburg,"11,839"
452,Healdsburg,"11,802"
453,Alum Rock,"11,791"
454,Winton,"11,761"
455,Delhi,"11,735"
456,Emeryville,"11,724"
457,Los Alamitos,"11,628"
458,View Park-Windsor Hills,"11,580"
459,Signal Hill,"11,538"
460,Lake Los Angeles,"11,469"
461,Camp Pendleton South,"11,459"
462,Home Gardens,"11,442"
463,Hillsborough,"11,439"
464,Mendota,"11,393"
465,Piedmont,"11,308"
466,Tamalpais-Homestead Valley,"11,261"
467,Rossmoor,"11,160"
468,Newman,"11,119"
469,Canyon Lake,"11,106"
470,Sonoma,"11,074"
471,Sierra Madre,"11,006"
472,Soquel,"10,862"
473,Placerville,"10,860"
474,La Riviera,"10,851"
475,Citrus,"10,771"
476,Farmersville,"10,742"
477,Garden Acres,"10,701"
478,Morro Bay,"10,592"
479,Exeter,"10,505"
480,Rodeo,"10,411"
481,East Whittier,"10,391"
482,San Diego Country Estates,"10,381"
483,Fairview,"10,299"
484,Anderson,"10,265"
485,Quartz Hill,"10,164"
486,Shasta Lake,"10,142"
487,Capitola,"10,135"
488,Del Aire,"10,065"
489,Madera Acres,"9,946"
490,Corte Madera,"9,866"
491,Blackhawk,"9,860"
492,Mentone,"9,847"
493,Country Club,"9,846"
494,Rio del Mar,"9,775"
495,Marina del Rey,"9,771"
496,Lake Arrowhead,"9,765"
497,Charter Oak,"9,760"
498,Oak Hills,"9,700"
499,Orange Cove,"9,564"
500,Golden Hills,"9,407"
501,Crestline,"9,381"
502,Taft,"9,307"
503,Good Hope,"9,173"
504,Tiburon,"9,151"
505,Fort Irwin,"9,086"
506,Valley Center,"9,059"
507,Bonadelle Ranchos-Madera Ranchos,"8,971"
508,Larkfield-Wikiup,"8,926"
509,Waterford,"8,823"
510,Cloverdale,"8,798"
511,Earlimart,"8,790"
512,August,"8,774"
513,Calimesa,"8,651"
514,South San Gabriel,"8,643"
515,Live Oak city,"8,622"
516,Rio Vista,"8,618"
517,Montecito,"8,611"
518,West Athens,"8,574"
519,Los Altos Hills,"8,517"
520,Westlake Village,"8,424"
521,Gonzales,"8,402"
522,Midway City,"8,374"
523,Firebaugh,"8,295"
524,Rolling Hills Estates,"8,187"
525,Pismo Beach,"8,116"
526,Alondra Park,"8,097"
527,Mammoth Lakes,"8,091"
528,Templeton,"7,938"
529,Camp Pendleton North,"7,903"
530,Boyes Hot Springs,"7,863"
531,Vandenberg Village,"7,861"
532,Thousand Palms,"7,814"
533,Cherry Valley,"7,755"
534,Spring Valley Lake,"7,744"
535,Oceano,"7,678"
536,Sebastopol,"7,666"
537,Woodlake,"7,636"
538,Piñon Hills,"7,592"
539,Fairfax,"7,591"
540,Ojai,"7,555"
541,Yreka,"7,551"
542,Orland,"7,541"
543,Corning,"7,535"
544,Gold River,"7,523"
545,Escalon,"7,509"
546,Cotati,"7,470"
547,Calipatria,"7,458"
548,Topanga,"7,449"
549,Orosi,"7,441"
550,Ione,"7,439"
551,University of California-Davis,"7,379"
552,Hughson,"7,370"
553,Oroville East,"7,368"
554,Plumas Lake,"7,367"
555,Guadalupe,"7,350"
556,Homeland,"7,326"
557,Franklin CDP,"7,314"
558,Fort Bragg,"7,298"
559,Alta Sierra,"7,207"
560,South Monrovia Island,"7,192"
561,Interlaken,"7,191"
562,Atherton and Acton,"7,185"
563,Mecca,"7,174"
564,Sausalito,"7,139"
565,Winters,"7,132"
566,Ladera Heights,"7,090"
567,Ben Lomond,"7,071"
568,Lemoore Station,"7,063"
569,Rancho Calaveras,"7,035"
570,Nuevo,"7,033"
571,Huron,"7,019"
572,San Martin,"7,010"
573,Joshua Tree,"6,980"
574,Desert Palms,"6,947"
575,Kentfield,"6,930"
576,Mira Monte,"6,912"
577,Pollock Pines,"6,905"
578,Lake Mathews,"6,848"
579,Lucas Valley-Marinwood,"6,841"
580,Bermuda Dunes,"6,817"
581,Loomis,"6,753"
582,Thermalito,"6,704"
583,Castroville,"6,686"
584,Crescent City,"6,681"
585,East Porterville,"6,679"
586,Gridley,"6,585"
587,El Rio,"6,505"
588,Contra Costa Centre,"6,497"
589,Saranap,"6,492"
590,Holtville,"6,458"
591,Fowler,"6,364"
592,East Foothills,"6,278"
593,Pleasure Point,"6,277"
594,Fruitridge Pocket,"6,215"
595,Keyes,"6,185"
596,St. Helena,"6,079"
597,Hidden Valley Lake,"6,044"
598,Willows,"6,022"
599,Eucalyptus Hills,"6,017"
600,East Pasadena,"5,971"
601,Silver Lakes,"5,966"
602,Villa Park,"5,912"
603,West Modesto,"5,911"
604,Colusa,"5,902"
605,Las Flores,"5,877"
606,Durham,"5,863"
607,Hilmar-Irwin,"5,846"
608,Mayflower Village,"5,822"
609,Elverta,"5,821"
610,El Granada,"5,819"
611,Aptos,"5,797"
612,Gustine and Cutler,"5,774"
613,Strawberry,"5,759"
614,Greenacres,"5,757"
615,Solvang,"5,734"
616,Cambria,"5,725"
617,Yosemite Lakes,"5,647"
618,Twin Lakes,"5,642"
619,Salton City,"5,611"
620,Rancho Murieta,"5,603"
621,Palermo,"5,544"
622,Woodside,"5,541"
623,Old Fig Garden,"5,529"
624,El Cerrito,"5,471"
625,Bear Valley Springs,"5,442"
626,Lucerne Valley,"5,423"
627,Kensington,"5,415"
628,Tara Hills,"5,405"
629,Jamul,"5,384"
630,La Habra Heights,"5,383"
631,Bret Harte,"5,319"
632,Indian Wells,"5,317"
633,Wilton,"5,307"
634,Myrtletown,"5,290"
635,Broadmoor,"5,286"
636,Calistoga,"5,285"
637,Dos Palos,"5,272"
638,Burbank,"5,252"
639,Big Bear Lake,"5,229"
640,Williams,"5,223"
641,Lake Wildwood,"5,208"
642,Denair,"5,131"
643,Buellton,"5,092"
644,Mayfair,"5,091"
645,Garnet,"5,057"
646,Highgrove,"4,986"
647,Needles,"4,962"
648,Willits,"4,893"
649,Lake San Marcos,"4,890"
650,Lakeport,"4,855"
651,Sonora,"4,822"
652,Guerneville,"4,808"
653,Santa Venetia,"4,790"
654,Lincoln Village,"4,768"
655,Oak View,"4,720"
656,Boulder Creek,"4,712"
657,Fetters Hot Springs-Agua Caliente,"4,697"
658,Jackson,"4,694"
659,Brisbane,"4,692"
660,Heber,"4,686"
661,Emerald Lake Hills and Portola Valley,"4,594"
662,Highlands-Baywood Park,"4,564"
663,Bonsall,"4,464"
664,Sunnyside,"4,451"
665,Planada,"4,418"
666,Mather,"4,408"
667,Santa Ynez,"4,401"
668,Ford City,"4,365"
669,Pacheco,"4,355"
670,Del Mar,"4,340"
671,Copperopolis,"4,299"
672,Running Springs,"4,296"
673,Carmel Valley Village,"4,293"
674,Phoenix Lake and Wrightwood,"4,283"
675,Humboldt Hill,"4,268"
676,Mountain View Acres,"4,260"
677,North Richmond,"4,233"
678,Mojave,"4,230"
679,Harbison Canyon,"4,223"
680,Ivanhoe,"4,198"
681,Del Monte Forest,"4,197"
682,McSwain and Lake of the Pines,"4,137"
683,West Menlo Park,"4,116"
684,Bystrom,"4,099"
685,Morada,"4,068"
686,North El Monte,"4,028"
687,San Joaquin,"4,021"
688,Clearlake Riviera,"3,933"
689,Vine Hill,"3,887"
690,Lenwood,"3,884"
691,Woodbridge and Shingle Springs,"3,865"
692,French Camp,"3,857"
693,Carmel-by-the-Sea,"3,855"
694,Angels,"3,811"
695,Felton,"3,810"
696,Burney,"3,807"
697,Moss Beach,"3,799"
698,Camino Tassajara,"3,798"
699,Mission Hills and Pixley,"3,796"
700,Armona,"3,795"
701,Esparto,"3,783"
702,Bishop,"3,765"
703,Avalon,"3,763"
704,Las Lomas,"3,755"
705,Wheatland,"3,747"
706,Agua Dulce,"3,728"
707,Freedom,"3,719"
708,Brooktrails,"3,709"
709,Forestville,"3,685"
710,Empire,"3,667"
711,Kennedy,"3,665"
712,Arbuckle,"3,636"
713,Riverdale and Stallion Springs,"3,625"
714,Reliez Valley,"3,575"
715,Hoopa,"3,573"
716,Pajaro,"3,561"
717,Greenfield,"3,534"
718,Meiners Oaks,"3,508"
719,Mono Vista,"3,504"
720,Auburn Lake Trails,"3,499"
721,Monte Sereno,"3,492"
722,Campo,"3,482"
723,Meadow Vista,"3,460"
724,Lake Isabella,"3,454"
725,Squaw Valley,"3,449"
726,Day Valley,"3,439"
727,Valley Springs,"3,428"
728,"Oakhurst, Angwin, and El Verano","3,424"
729,Tarpey Village and Lockeford,"3,390"
730,Hidden Meadows,"3,386"
731,Rio Dell,"3,382"
732,Vandenberg AFB,"3,379"
733,Cabazon,"3,367"
734,Casa Conejo,"3,366"
735,Loyola,"3,364"
736,East Oakdale,"3,344"
737,Desert Edge,"3,343"
738,Kelseyville,"3,332"
739,Goshen,"3,316"
740,Terra Bella,"3,304"
741,Cottonwood,"3,289"
742,Mount Shasta,"3,284"
743,Lake California,"3,281"
744,Morongo Valley,"3,262"
745,Weaverville,"3,240"
746,Tipton,"3,218"
747,East Richmond Heights,"3,214"
748,Seacliff,"3,201"
749,South Oroville,"3,181"
750,Santa Rosa Valley,"3,180"
751,Marin City,"3,173"
752,Anza,"3,151"
753,Pine Hills,"3,146"
754,North Lakeport,"3,141"
755,Coronita,"3,138"
756,Nevada City,"3,128"
757,Rollingwood,"3,110"
758,Crockett and Cambrian Park,"3,094"
759,Loma Rica,"3,088"
760,San Andreas,"3,085"
761,Ridgemark,"3,062"
762,San Antonio Heights,"3,034"
763,Meadowbrook,"3,033"
764,Cutten,"3,029"
765,Montalvin Manor,"3,023"
766,Oasis,"3,020"
767,Bonny Doon,"3,009"
768,Val Verde,"2,996"
769,Sutter,"2,994"
770,San Miguel,"2,993"
771,Yountville,"2,982"
772,Vista Santa Rosa,"2,967"
773,Penngrove,"2,961"
774,Lucerne,"2,956"
775,Winchester,"2,931"
776,La Selva Beach,"2,917"
777,Strathmore,"2,915"
778,Hartley,"2,907"
779,Fairbanks Ranch,"2,901"
780,North Shore,"2,892"
781,Lake Nacimiento,"2,884"
782,Channel Islands Beach,"2,864"
783,Granite Hills and Kings Beach,"2,833"
784,Amesti,"2,832"
785,San Miguel CDP,"2,807"
786,Caruthers,"2,773"
787,Dixon Lane-Meadow Creek,"2,760"
788,Mission Canyon,"2,755"
789,Crest,"2,746"
790,Homestead Valley,"2,723"
791,Montara and Cayucos,"2,692"
792,Jamestown,"2,687"
793,Kelly Ridge,"2,679"
794,Weed,"2,677"
795,Pine Mountain Lake,"2,671"
796,Georgetown,"2,668"
797,West Bishop,"2,661"
798,Westmorland,"2,643"
799,Collierville,"2,642"
800,Dogtown,"2,629"
801,East Quincy,"2,622"
802,Bayview CDP,"2,617"
803,Bella Vista,"2,614"
804,Rose Hills,"2,612"
805,Richgrove,"2,611"
806,Arnold,"2,605"
807,Lexington Hills,"2,603"
808,Rancho Santa Fe,"2,591"
809,Alturas,"2,577"
810,Edwards AFB,"2,571"
811,Frazier Park,"2,570"
812,Lakeview,"2,566"
813,Aromas,"2,553"
814,Green Acres,"2,542"
815,Sutter Creek,"2,538"
816,Twain Harte,"2,523"
817,Santa Nella,"2,508"
818,Desert View Highlands,"2,496"
819,Parksdale,"2,493"
820,Auberry,"2,476"
821,Ahwahnee,"2,461"
822,Idyllwild-Pine Cove,"2,459"
823,Poplar-Cotton Center,"2,436"
824,Sky Valley,"2,430"
825,Taft Heights,"2,424"
826,Hayfork,"2,421"
827,Rouse,"2,420"
828,Three Rivers,"2,397"
829,Nice,"2,393"
830,Bell Canyon,"2,391"
831,Corralitos,"2,381"
832,Patterson Tract,"2,351"
833,Brookdale,"2,345"
834,Biggs,"2,323"
835,Boron,"2,312"
836,Ross,"2,309"
837,Pine Canyon,"2,294"
838,Soulsbyville,"2,286"
839,Clearlake Oaks,"2,279"
840,Shingletown,"2,272"
841,Borrego Springs,"2,252"
842,Buckhorn,"2,246"
843,Weedpatch,"2,238"
844,Romoland,"2,227"
845,Hamilton City,"2,224"
846,Columbia,"2,217"
847,Easton,"2,206"
848,Sleepy Hollow,"2,200"
849,East Sonora,"2,189"
850,Weldon,"2,181"
851,Laton,"2,166"
852,Chester,"2,116"
853,San Juan Bautista,"2,106"
854,Murphys,"2,100"
855,Belvedere,"2,098"
856,Mountain View,"2,066"
857,Bertsch-Oceanview,"2,042"
858,Colfax,"2,029"
859,Piru,"2,019"
860,Bethel Island,"2,010"
861,Rainbow,"1,994"
862,Aptos Hills-Larkin Valley,"1,993"
863,Calwa,"1,974"
864,Wofford Heights,"1,973"
865,Bayview,"1,954"
866,China Lake Acres,"1,947"
867,Lost Hills,"1,943"
868,San Pasqual,"1,932"
869,Red Corral,"1,930"
870,Rancho Tehama Reserve,"1,922"
871,Portola,"1,912"
872,Warm Springs,"1,903"
873,Elizabeth Lake and Quincy,"1,895"
874,Graton,"1,877"
875,Fairmead,"1,876"
876,London,"1,854"
877,Parkwood,"1,853"
878,Woodville,"1,852"
879,Los Molinos,"1,845"
880,Lone Pine,"1,837"
881,Lake Sherwood,"1,835"
882,Shasta,"1,804"
883,Pine Mountain Club,"1,803"
884,Lebec,"1,802"
885,Camino,"1,799"
886,Linden,"1,790"
887,Littlerock,"1,766"
888,Woodlands,"1,743"
889,Toro Canyon,"1,735"
890,Pine Grove and Los Ranchos,"1,730"
891,Le Grand,"1,726"
892,Monument Hills,"1,700"
893,Seeley,"1,699"
894,South Dos Palos,"1,682"
895,Pine Valley,"1,669"
896,Black Point-Green Point,"1,655"
897,Searles Valley,"1,646"
898,Descanso,"1,644"
899,Coarsegold and Home Garden,"1,643"
900,Hidden Hills,"1,634"
901,Rolling Hills city,"1,630"
902,Los Alamos,"1,623"
903,Del Rey Oaks,"1,596"
904,Lower Lake,"1,595"
905,Buttonwillow,"1,591"
906,Dunsmuir,"1,589"
907,Callender,"1,583"
908,Leona Valley,"1,581"
909,Tuolumne City,"1,577"
910,Green Valley CDP,"1,572"
911,Big Pine,"1,568"
912,Temelec,"1,564"
913,Foresthill,"1,546"
914,Westwood,"1,545"
915,Willow Creek,"1,539"
916,South Taft,"1,526"
917,Montague,"1,517"
918,Forest Meadows,"1,516"
919,Lagunitas-Forest Knolls,"1,504"
920,Knightsen,"1,500"
921,Del Rey,"1,498"
922,Ladera,"1,465"
923,Biola,"1,451"
924,Colma,"1,450"
925,Pioneer,"1,443"
926,Chualar,"1,442"
927,Penn Valley,"1,424"
928,Irwindale,"1,405"
929,Midpines,"1,396"
930,Kettleman City,"1,395"
931,Bodfish,"1,384"
932,Redwood Valley,"1,376"
933,Ferndale,"1,365"
934,Allendale,"1,362"
935,Thermal,"1,359"
936,Herlong,"1,353"
937,Eldridge and Mariposa,"1,351"
938,Byron,"1,348"
939,Lewiston,"1,340"
940,Malaga,"1,337"
941,Mountain Ranch,"1,306"
942,Woodacre,"1,303"
943,Riverdale Park,"1,301"
944,Walnut Grove,"1,300"
945,Tahoe Vista,"1,288"
946,Shell Ridge,"1,281"
947,Dunnigan and Janesville,"1,278"
948,Avila Beach,"1,273"
949,Gerber,"1,259"
950,Santa Margarita,"1,252"
951,Sheridan,"1,250"
